Date,Close,High,Low,Open,Volume,Market_Label,GDP Growth,CPI,Interest Rate,M2 Money Supply,PPI,Unemployment Rate
1993-01-29,24.52607536315918,24.54351922899357,24.421412168152813,24.54351922899357,1003200,0,6808.939,3.2467532467532534,6.39,3414.9,2.0689655172413834,7.1
1993-02-01,24.700511932373047,24.70051193237305,24.543517153141863,24.543517153141863,480500,0,6808.939,3.2467532467532534,6.38,3414.9,2.0689655172413834,7.1
1993-02-02,24.75285530090332,24.77029917356076,24.63074819230125,24.68307981027357,201300,0,6808.939,3.2467532467532534,6.46,3414.9,2.0689655172413834,7.1
1993-02-03,25.01448440551757,25.03192825796215,24.77027047129356,24.78771432373813,529400,0,6808.939,3.2467532467532534,6.45,3414.9,2.0689655172413834,7.1
1993-02-04,25.119165420532227,25.171497015158337,24.822619717650944,25.10172155565686,531500,0,6808.939,3.2467532467532534,6.39,3414.9,2.0689655172413834,7.1
1993-02-05,25.10171890258789,25.15405049168293,24.962167998334447,25.101718902587887,492100,0,6808.939,3.2467532467532534,6.32,3414.9,2.0689655172413834,7.1
1993-02-08,25.10171890258789,25.18893821774629,25.066831176524527,25.101718902587887,596100,0,6808.939,3.2467532467532534,6.37,3410.1,2.0689655172413834,7.1
1993-02-09,24.92727851867676,25.01449782769942,24.87494693326316,25.01449782769942,122100,0,6808.939,3.2467532467532534,6.41,3410.1,2.0689655172413834,7.1
1993-02-10,24.962182998657227,24.97962687217132,24.85751975757271,24.92729525162905,379600,0,6808.939,3.2467532467532534,6.4,3410.1,2.0689655172413834,7.1
1993-02-11,25.08428382873535,25.18894704359795,24.997064483016523,24.997064483016523,19500,0,6808.939,3.2467532467532534,6.37,3410.1,2.0689655172413834,7.1
1993-02-12,24.89240074157715,25.04939556054996,24.89240074157715,25.04939556054996,42500,0,6808.939,3.2467532467532534,6.35,3410.1,2.0689655172413834,7.1
1993-02-16,24.26441764831543,24.8226213612889,24.229529916254588,24.8226213612889,374800,0,6808.939,3.2467532467532534,6.34,3410.1,2.0689655172413834,7.1
1993-02-17,24.246978759765625,24.29931036859965,24.15975941170891,24.264422629376966,210900,0,6808.939,3.2467532467532534,6.28,3410.1,2.0689655172413834,7.1
1993-02-18,24.229536056518555,24.52608185418653,23.898102517948463,24.52608185418653,378100,0,6808.939,3.2467532467532534,6.17,3410.1,2.0689655172413834,7.1
1993-02-19,24.31675338745117,24.31675338745117,24.19464630444388,24.22953404244597,34900,0,6808.939,3.2467532467532534,6.15,3410.1,2.0689655172413834,7.1
1993-02-22,24.403982162475582,24.43886991395875,24.316762783767665,24.386538286734,513600,0,6808.939,3.2467532467532534,6.09,3415.7,2.0689655172413834,7.1
1993-02-23,24.38650894165039,24.49117207015533,24.264401958394632,24.473728215404503,373700,0,6808.939,3.2467532467532534,5.92,3415.7,2.0689655172413834,7.1
1993-02-24,24.700511932373047,24.70051193237305,24.4039662382697,24.4039662382697,26300,0,6808.939,3.2467532467532534,6.01,3415.7,2.0689655172413834,7.1
1993-02-25,24.75285530090332,24.77029917356076,24.63074819230125,24.68307981027357,44500,0,6808.939,3.2467532467532534,6.03,3415.7,2.0689655172413834,7.1
1993-02-26,24.78774642944336,24.80519030448168,24.66563930417517,24.80519030448168,66200,0,6808.939,3.2467532467532534,6.03,3415.7,2.0689655172413834,7.1
1993-03-01,24.71796989440918,24.87496476318101,24.68308214579321,24.87496476318101,66500,0,6808.939,3.0194104960460155,5.94,3414.7,2.239448751076667,7.0
1993-03-02,25.08428382873535,25.08428382873535,24.700518707572503,24.73540644586004,182400,0,6808.939,3.0194104960460155,5.95,3414.7,2.239448751076667,7.0
1993-03-03,25.18893814086914,25.20638200384758,25.08427496299849,25.11916268895537,280100,0,6808.939,3.0194104960460155,5.88,3414.7,2.239448751076667,7.0
1993-03-04,25.049388885498047,25.22382752676196,25.049388885498047,25.22382752676196,89500,0,6808.939,3.0194104960460155,5.83,3414.7,2.239448751076667,7.0
1993-03-05,24.979616165161133,25.188942557606616,24.962172299124006,25.084279361383874,40000,0,6808.939,3.0194104960460155,5.9,3414.7,2.239448751076667,7.0
1993-03-08,25.53780937194824,25.53780937194824,25.03193746499025,25.03193746499025,50800,0,6808.939,3.0194104960460155,5.85,3411.5,2.239448751076667,7.0
1993-03-09,25.450592041015625,25.50292362163457,25.39826046039668,25.48547976142825,169300,0,6808.939,3.0194104960460155,5.91,3411.5,2.239448751076667,7.0
1993-03-10,25.502927780151367,25.50292778015137,25.345933012694896,25.45059619099921,194400,0,6808.939,3.0194104960460155,5.97,3411.5,2.239448751076667,7.0
1993-03-11,25.43316078186035,25.590155601501465,25.398273044162327,25.52038012610541,70900,0,6808.939,3.0194104960460155,5.96,3411.5,2.239448751076667,7.0
1993-03-12,25.171497344970703,25.241272805386423,25.014502559035336,25.22382894028249,643600,0,6808.939,3.0194104960460155,6.11,3411.5,2.239448751076667,7.0
1993-03-15,25.29361152648925,25.29361152648925,25.15406056634311,25.15406056634311,310800,0,6808.939,3.0194104960460155,6.17,3411.1,2.239448751076667,7.0
1993-03-16,25.29361152648925,25.36338700656233,25.29361152648925,25.29361152648925,30800,0,6808.939,3.0194104960460155,6.06,3411.1,2.239448751076667,7.0
1993-03-17,25.13661766052246,25.25872475533416,25.10172991914769,25.25872475533416,21800,0,6808.939,3.0194104960460155,6.02,3411.1,2.239448751076667,7.0
1993-03-18,25.29361152648925,25.39827474659887,25.24127991643445,25.24127991643445,59300,0,6808.939,3.0194104960460155,5.93,3411.1,2.239448751076667,7.0
1993-03-19,25.25534439086914,25.39555449158181,25.25534439086914,25.39555449158181,66900,0,6808.939,3.0194104960460155,5.95,3411.1,2.239448751076667,7.0
1993-03-22,25.1151123046875,25.16769104642795,24.99242857395979,25.009954821206605,183400,0,6808.939,3.0194104960460155,5.96,3409.6,2.239448751076667,7.0
1993-03-23,25.167695999145508,25.20274850053708,25.132643497753943,25.185222249841296,55200,0,6808.939,3.0194104960460155,5.91,3409.6,2.239448751076667,7.0
1993-03-24,25.167695999145508,25.272853503320214,25.009959742883456,25.132643497753943,37200,0,6808.939,3.0194104960460155,5.95,3409.6,2.239448751076667,7.0
